Geography,Reference period,Total all types of electricity generation  (Gigawatt hours),Hydraulic turbine  (Gigawatt hours),Conventional steam turbine  (Gigawatt hours),Nuclear steam turbine (Gigawatt hours),Internal combustion turbine  (Gigawatt hours),Combustion turbine  (Gigawatt hours),Total electricity production from combustible fuels  (Gigawatt hours),Total electricity production from non-renewable combustible fuels (Gigawatt hours),Total electricity production from biomass  (Gigawatt hours),Tidal power turbine  (Gigawatt hours),Wind power turbine  (Gigawatt hours),Solar  (Gigawatt hours),Other types of electricity generation (Gigawatt hours),,,,,,
Canada,21-Apr,48555.49,29815.31,0.00,6914.85,0.00,0.00,8537.35,7727.30,810.05,0.00,2980.87,291.71,15.40,,,,,,
Canada,21-May,48110.22,28994.72,0.00,7556.30,0.00,0.00,8625.19,7903.63,721.57,0.00,2592.92,329.17,11.90,,,,,,
Canada,21-Jun,48939.95,28142.02,0.00,7907.24,0.00,0.00,9935.79,9176.91,758.88,0.00,2643.83,300.65,10.44,,,,,,
Canada,21-Jul,49931.67,29336.93,0.00,8216.04,0.00,0.00,10139.58,9367.40,772.18,0.00,1949.93,281.87,7.33,,,,,,
Canada,21-Aug,50334.22,28199.06,0.00,8070.67,0.00,0.00,11754.86,10943.47,811.39,0.00,1994.46,300.72,14.46,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
